しゅうまつ どこかへ いきますか。	Akhir pekan ini Anda pergi ke suatu tempat?	စနေတနင်္ဂနွေ တစ်နေရာရာ သွားမလား။
はい、きょうとへ いきます。	Ya, saya pergi ke Kyoto.	ဟုတ်ကဲ့၊ ကျိုတိုကို သွားပါမယ်။
なんで いきますか。	Naik apa Anda pergi?	ဘာနဲ့ သွားမလဲ။
しんかんせんで いきます。	Naik shinkansen.	ရှင်ကန်းဆန်း (မြန်နှုန်းမြင့်ရထား) နဲ့ သွားပါမယ်။
だれと いきますか。	Dengan siapa Anda pergi?	ဘယ်သူနဲ့ သွားမလဲ။
ミラーさんと いきます。	Pergi dengan Pak Miller.	Miller နဲ့ သွားပါမယ်။
いつ かえりますか。	Kapan Anda pulang?	ဘယ်တော့ ပြန်မလဲ။
にちようびに かえります。	Pulang hari Minggu.	တနင်္ဂနွေနေ့မှာ ပြန်ပါမယ်။
たんじょうびは いつですか。	Ulang tahun Anda kapan?	မွေးနေ့က ဘယ်တော့လဲ။
6がつ 13にちです。	Tanggal 13 Juni.	ဇွန်လ ၁၃ ရက်ပါ။
どこへ いきますか。	Anda pergi ke mana?	ဘယ်သွားမလဲ။
スーパーへ いきます。	Pergi ke supermarket.	စူပါမားကက်ကို သွားပါမယ်။
バスで いきますか。	Naik bus?	ဘတ်စ်ကားနဲ့ သွားမလား။
いいえ、じてんしゃで いきます。	Tidak, naik sepeda.	မဟုတ်ပါဘူး၊ စက်ဘီးနဲ့ သွားပါမယ်။
なんじに かえりますか。	Jam berapa Anda pulang?	ဘယ်နှစ်နာရီမှာ ပြန်မလဲ။
5じに かえります。	Pulang jam 5.	၅ နာရီမှာ ပြန်ပါမယ်။
7がつ 15にちに くにへ かえりますか。	Apakah tanggal 15 Juli Anda pulang ke negara Anda?	ဇူလိုင်လ ၁၅ ရက်မှာ နိုင်ငံကို ပြန်မလား။
はい、そうです。ひこうきで かえります。	Ya, benar. Pulang naik pesawat.	ဟုတ်ပါတယ်။ လေယာဉ်နဲ့ ပြန်ပါမယ်။
そうですか。きをつけて。	Oh begitu. Hati-hati di jalan.	ဟုတ်လား။ ဂရုစိုက်ပြီး သွားပါနော်။
ありがとうございます。	Terima kasih.	ကျေးဇူးတင်ပါတယ်။
ひるごはんは なにを たべますか。	Makan siang Anda makan apa?	နေ့လယ်စာ ဘာစားမလဲ။
サンドイッチを たべます。	Makan roti lapis.	အသားညှပ်ပေါင်မုန့် စားပါမယ်။
いっしょに しょくどうへ いきませんか。	Mau pergi ke kantin bersama?	အတူတူ ထမင်းစားခန်းကို သွားကြမလား။
いいですね。いきましょう。	Boleh juga. Ayo pergi.	ကောင်းတယ်နော်။ သွားကြရအောင်။
きょうとへ いっしょに いきませんか。	Mau pergi ke Kyoto bersama?	ကျိုတိုကို အတူတူ သွားကြမလား။
いいですね。いつ いきますか。	Boleh juga. Kapan kita pergi?	ကောင်းတယ်နော်။ ဘယ်တော့ သွားကြမလဲ။
どようびは どうですか。	Bagaimana kalau hari Sabtu?	စနေနေ့ဆို ဘယ်လိုလဲ။
どようびは ちょっと……にちようびは どうですか。	Sabtu agak sulit... Bagaimana kalau Minggu?	စနေနေ့က နည်းနည်း... တနင်္ဂနွေနေ့ဆို ဘယ်လိုလဲ။
にちようびも いいですよ。	Minggu juga boleh.	တနင်္ဂနွေနေ့လည်း ရပါတယ်။
では、にちようびに いきましょう。	Kalau begitu, ayo pergi hari Minggu.	ဒါဆိုရင် တနင်္ဂနွေနေ့မှာ သွားကြရအောင်။
きのう なにを しましたか。	Kemarin Anda melakukan apa?	မနေ့က ဘာလုပ်ခဲ့လဲ။
デパートで かいものを しました。	Berbelanja di pusat perbelanjaan.	ကုန်တိုက်မှာ ဈေးဝယ်ခဲ့ပါတယ်။
なにを かいましたか。	Apa yang Anda beli?	ဘာဝယ်ခဲ့လဲ။
こうちゃを かいました。	Membeli teh hitam.	လက်ဖက်ရည်ခြောက် ဝယ်ခဲ့ပါတယ်။
あそこで すこし やすみましょうか。	Bagaimana kalau kita istirahat sebentar di sana?	ဟိုမှာ ခဏလောက် နားကြမလား။
そうしましょう。コーヒーを のみましょう。	Ayo. Mari kita minum kopi.	ဒီလိုလုပ်ကြရအောင်။ ကော်ဖီသောက်ကြရအောင်။
あなたは なにを のみますか。	Anda mau minum apa?	ခင်ဗျားက ဘာသောက်မလဲ။
コーヒーを のみます。あなたは？	Saya minum kopi. Kalau Anda?	ကော်ဖီ သောက်ပါမယ်။ ခင်ဗျားကရော။
わたしは こうちゃに します。	Saya pilih teh.	ကျွန်တော်က လက်ဖက်ရည် ယူပါမယ်။
じゃあ、あそこで まちましょう。	Kalau begitu, mari kita tunggu di sana.	ဒါဆိုရင် ဟိုမှာ စောင့်ကြရအောင်။
これは なんで たべますか。	Ini dimakan dengan apa?	ဒါကို ဘာနဲ့ စားရမလဲ။
はしで たべます。	Dimakan dengan sumpit.	တူနဲ့ စားပါတယ်။
むずかしいですね。フォークで たべても いいですか。	Susah, ya. Boleh makan dengan garpu?	ခက်တယ်နော်။ ခက်ရင်းနဲ့ စားလို့ရမလား။
もちろんです。	Tentu saja.	ရတာပေါ့။
さとうさんに なにを あげましたか。	Anda memberi apa kepada Bu Sato?	Sato ကို ဘာပေးခဲ့လဲ။
チョコレートを あげました。	Memberi cokelat.	ချောကလက် ပေးခဲ့ပါတယ်။
さとうさんから なにを もらいましたか。	Anda menerima apa dari Bu Sato?	Sato ဆီကနေ ဘာရခဲ့လဲ။
ほんを もらいました。	Menerima buku.	စာအုပ် ရခဲ့ပါတယ်။
もう プレゼントを おくりましたか。	Apakah Anda sudah mengirim hadiah?	လက်ဆောင် ပို့ပြီးပြီလား။
いいえ、まだです。あした おくります。	Belum. Besok saya kirim.	မပို့ရသေးပါဘူး။ မနက်ဖြန် ပို့ပါမယ်။
「ありがとう」は えいごで なんですか。	"Arigatou" bahasa Inggrisnya apa?	「ありがとう」 ကို အင်္ဂလိပ်လို ဘယ်လိုပြောလဲ။
"Thank you" です。	"Thank you".	"Thank you" ပါ။
「すみません」は えいごで なんですか。	"Sumimasen" bahasa Inggrisnya apa?	「すみません」 ကို အင်္ဂလိပ်လို ဘယ်လိုပြောလဲ။
"Excuse me" です。	"Excuse me".	"Excuse me" ပါ။
ワットさんに なにを もらいましたか。	Anda menerima apa dari Pak Watt?	Watt ဆီကနေ ဘာရခဲ့လဲ။
あなたは ワットさんに なにを あげましたか。	Anda memberi apa kepada Pak Watt?	ခင်ဗျားက Watt ကို ဘာပေးခဲ့လဲ။
CDを あげました。	Memberi CD.	CD ပေးခဲ့ပါတယ်။
もう にもつを おくりましたか。	Apakah Anda sudah mengirim barang?	ပစ္စည်း ပို့ပြီးပြီလား။
はい、もう おくりました。	Ya, sudah dikirim.	ဟုတ်ကဲ့၊ ပို့ပြီးပါပြီ။
ならは どんな まちですか。	Nara kota yang seperti apa?	နာရာက ဘယ်လိုမြို့လဲ။
ふるくて、ゆうめいな まちです。	Kota tua yang terkenal.	ရှေးကျပြီး နာမည်ကြီးတဲ့ မြို့ပါ။
きれいですか。	Apakah indah?	လှလား။
