来月、京都へ旅行に行こうと思っているんですが、どうすればいいですか。	Bulan depan saya berencana berwisata ke Kyoto, sebaiknya bagaimana?	နောက်လ ကျိုတိုကို ခရီးသွားဖို့ စိတ်ကူးထားလို့ ဘယ်လိုလုပ်ရမလဲ။
京都なら、まず新幹線のチケットを予約しておいたほうがいいですよ。	Kalau Kyoto, sebaiknya pesan tiket shinkansen dulu.	ကျိုတိုဆိုရင် အရင်ဆုံး မြန်နှုန်းမြင့်ရထားလက်မှတ်ကို ကြိုတင်ဘွတ်ကင်လုပ်ထားတာ ကောင်းပါတယ်။
宿泊はどこがいいでしょうか。	Untuk menginap, di mana yang bagus?	တည်းခိုဖို့ကရော ဘယ်နေရာ ကောင်းမလဲ။
もみじなら日光がいいですが、京都なら嵐山がきれいです。	Kalau momiji, Nikko bagus, tapi kalau Kyoto, Arashiyama indah.	ရွက်နီဆိုရင် နစ်ကိုးကကောင်းပေမယ့် ကျိုတိုဆိုရင် အရာရှိယာမက လှပါတယ်။
行ったことがありますか。	Apakah Anda pernah ke sana?	ရောက်ဖူးလား။
はい、去年行きました。日本語が話せるようになってから、旅行がもっと楽しくなりました。	Ya, tahun lalu. Setelah bisa berbicara bahasa Jepang, wisata jadi lebih menyenangkan.	ဟုတ်ကဲ့၊ မနှစ်က သွားခဲ့ပါတယ်။ ဂျပန်စကား ပြောတတ်လာပြီးကတည်းက ခရီးသွားရတာ ပိုပျော်စရာကောင်းလာပါတယ်။
いいですね。もし天気が悪かったら、どうしますか。	Bagus, ya. Kalau cuacanya buruk, bagaimana?	ကောင်းတယ်နော်။ ရာသီဥတု ဆိုးရင် ဘယ်လိုလုပ်မလဲ။
雨が降っても、寺社の中は見られますから大丈夫です。	Meskipun hujan, bagian dalam kuil tetap bisa dilihat, jadi tidak masalah.	မိုးရွာလည်း ဘုရားကျောင်းတွေထဲကို ကြည့်လို့ရလို့ ရပါတယ်။
来週、旅行の計画をまとめるつもりです。	Minggu depan saya berencana menyusun rencana perjalanan.	နောက်အပတ် ခရီးစဉ်အစီအစဉ်ကို စုစည်းရေးဆွဲဖို့ စိတ်ကူးထားပါတယ်။
準備が終わったら、教えてください。一緒に相談しましょう。	Kalau persiapan selesai, beri tahu saya. Mari kita diskusikan bersama.	ပြင်ဆင်ပြီးရင် ပြောပါနော်။ အတူတူ တိုင်ပင်ကြရအောင်။
最近、仕事が大変そうですね。	Akhir-akhir ini pekerjaan Anda kelihatan berat, ya.	ဒီတလော အလုပ်က ပင်ပန်းပုံရတယ်နော်။
はい、残業が多くて疲れてしまいました。	Ya, lembur banyak sekali sampai saya kelelahan.	ဟုတ်ကဲ့၊ အချိန်ပိုဆင်းရတာများလို့ ပင်ပန်းနေပါပြီ။
上司に相談したほうがいいですよ。	Sebaiknya konsultasi dengan atasan.	အထက်လူကြီးနဲ့ တိုင်ပင်တာ ကောင်းပါတယ်။
部長に話そうとしたんですが、いつも忙しそうで……。	Saya sudah mencoba bicara dengan kepala bagian, tapi beliau selalu kelihatan sibuk...	ဌာနမှူးကို ပြောဖို့ ကြိုးစားခဲ့ပေမယ့် အမြဲ အလုပ်များနေပုံရလို့...
メールで伝えてみたらどうですか。	Bagaimana kalau coba sampaikan lewat email?	အီးမေးလ်နဲ့ ပြောကြည့်ရင် ဘယ်လိုလဲ။
そうですね。もう少し早く帰れるようになりたいんです。	Benar. Saya ingin bisa pulang lebih cepat.	ဟုတ်တယ်နော်။ နည်းနည်း ပိုစောစော ပြန်နိုင်အောင် ဖြစ်ချင်ပါတယ်။
体を大事にしなければなりませんよ。	Anda harus menjaga kesehatan.	ကျန်းမာရေးကို ဂရုစိုက်ရမယ်နော်။
わかっています。でも、やることが多くて……。	Saya tahu. Tapi banyak sekali yang harus dikerjakan...	သိပါတယ်။ ဒါပေမယ့် လုပ်စရာတွေ များလို့...
できることから少しずつ変えていけばいいですよ。	Ubah saja sedikit demi sedikit dari yang bisa dilakukan.	လုပ်နိုင်တာကနေ တဖြည်းဖြည်း ပြောင်းသွားရင် ရပါတယ်။
ありがとうございます。前向きに考えるようにします。	Terima kasih. Saya akan berusaha berpikir positif.	ကျေးဇူးတင်ပါတယ်။ အပြုသဘောနဲ့ တွေးအောင် ကြိုးစားပါမယ်။
新しいスマートフォンを買おうと思っているんだけど……。	Aku berpikir mau membeli smartphone baru...	စမတ်ဖုန်းအသစ် ဝယ်မလားလို့ စဉ်းစားနေတာ...
どんなのを探しているの？	Kamu cari yang seperti apa?	ဘယ်လိုမျိုး ရှာနေတာလဲ။
写真がきれいに撮れるものがいいんだけど。	Yang bisa memotret dengan bagus.	ဓာတ်ပုံ လှလှရိုက်လို့ရတဲ့ဟာမျိုး ကြိုက်တာ။
このモデルは写真もきれいだし、バッテリーも長持ちするし、おすすめだよ。	Model ini fotonya bagus, baterainya juga awet, kurekomendasikan.	ဒီမော်ဒယ်က ဓာတ်ပုံလည်းလှတယ်၊ ဘက်ထရီလည်းခံတယ်၊ ညွှန်းချင်တယ်။
値段はどうかな。	Harganya bagaimana, ya?	ဈေးနှုန်းကရော ဘယ်လိုလဲ။
少し高いけど、長く使えるから、結果的には安いと思うよ。	Agak mahal, tapi karena bisa dipakai lama, akhirnya malah murah menurutku.	နည်းနည်း ဈေးကြီးပေမယ့် ကြာကြာသုံးလို့ရလို့ နောက်ဆုံးမှာတော့ တန်တယ်လို့ ထင်တယ်။
試してみてもいいかな。	Boleh kucoba dulu?	စမ်းကြည့်လို့ ရမလား။
もちろん。お店で実際に使ってみたほうがいいよ。	Tentu. Sebaiknya coba langsung di toko.	ရတာပေါ့။ ဆိုင်မှာ တကယ် သုံးကြည့်တာ ကောင်းတယ်။
一緒に見に行ってくれる？	Mau menemaniku pergi melihatnya?	အတူတူ လိုက်ကြည့်ပေးမလား။
いいよ！土曜日はどう？	Boleh! Bagaimana kalau Sabtu?	ရတယ်။ စနေနေ့ဆို ဘယ်လိုလဲ။
先生、日本語の勉強について相談があるんですが……。	Bu Guru, saya ingin berkonsultasi tentang belajar bahasa Jepang...	ဆရာ၊ ဂျပန်စာလေ့လာမှုနဲ့ပတ်သက်ပြီး တိုင်ပင်စရာ ရှိလို့ပါ...
どうぞ。どんなことでしょうか。	Silakan. Tentang apa?	ပြောပါ။ ဘာအကြောင်းလဲ။
会話は少しできるようになりましたが、作文がまだ難しいんです。	Percakapan sudah mulai bisa sedikit, tapi mengarang masih sulit.	စကားပြောတော့ နည်းနည်း တတ်လာပေမယ့် စာစီစာကုံးက ခက်နေသေးပါတယ်။
毎日短い日記を書くようにしてみてください。	Cobalah menulis buku harian pendek setiap hari.	နေ့တိုင်း ဒိုင်ယာရီအတိုလေး ရေးကြည့်ပါ။
日記ですか。難しいですが、やってみます。	Buku harian, ya. Sulit, tapi saya akan coba.	ဒိုင်ယာရီလား။ ခက်ပေမယ့် လုပ်ကြည့်ပါမယ်။
最初は3行でも大丈夫ですよ。続けることが大切です。	Awalnya 3 baris saja tidak apa-apa. Yang penting terus berlanjut.	အစပိုင်း ၃ ကြောင်းပဲဆိုလည်း ရပါတယ်။ ဆက်လုပ်တာက အရေးကြီးပါတယ်။
書いたら、見ていただけますか。	Kalau sudah menulis, bisakah Anda memeriksanya?	ရေးပြီးရင် ကြည့်ပေးလို့ရမလား။
もちろんです。持ってきてください。	Tentu saja. Bawalah kemari.	ရတာပေါ့။ ယူလာခဲ့ပါ။
