s001	မင်္ဂလာနံနက်ခင်းပါ။ ဒီနေ့လည်း ရာသီဥတု ကောင်းတယ်နော်။
s002	မနေ့က နောက်ကျတဲ့အထိ နိုးနေခဲ့လို့ အိပ်ချင်နေပါတယ်။
s003	စနေတနင်္ဂနွေမှာ သူငယ်ချင်းနဲ့ ရုပ်ရှင်သွားကြည့်ဖို့ စိတ်ကူးထားပါတယ်။
s004	ဂျပန်မှာနေထိုင်တာ အသားကျပြီလား။
s005	အချိန်ရရင် အိမ်ကို လာလည်ပါနော်။
s006	မနက်တိုင်း ထမင်းချက်ပြီးမှ ကုမ္ပဏီကို သွားပါတယ်။
s007	သီချင်းနားထောင်ရင်း အခန်းကို သန့်ရှင်းရေးလုပ်ခဲ့ပါတယ်။
s008	ဖူဂျီတောင်ကို တက်ဖူးလား။
s009	ဒီည မိုးရွာချင် ရွာနိုင်ပါတယ်။
s010	တစ်ဆိတ်လောက်၊ ဒါ ဘယ်လောက်လဲ။
s011	နောက်ထပ် နည်းနည်း ဈေးသက်သာတာ မရှိဘူးလား။
s012	ဒီဖိနပ်ကို စီးကြည့်လို့ရမလား။
s013	ကတ်နဲ့ ရှင်းလို့ရမလား။
s014	လက်ဆောင်အတွက် ထုပ်ပိုးပေးလို့ရမလား။
s015	ဒီပန်းသီးက ချိုပြီး စားကောင်းမယ့်ပုံပဲနော်။
s016	ဆိုက်မတော်ရင် လဲလို့ရမလား။
s017	အိတ် မလိုပါဘူး။ ဒီအတိုင်းပဲ ရပါတယ်။
s018	ဆိုင်ပိတ်ချိန်က ဘယ်နှစ်နာရီလဲ ပြောပြပေးပါ။
s019	အစည်းအဝေးက ၁၀ နာရီမှာ စဖို့ အစီအစဉ်ရှိပါတယ်။
s020	ဒီစာရွက်စာတမ်းကို မိတ္တူကူးထားပေးပါ။
s021	အားနာပါတယ်၊ နည်းနည်း နောက်ကျမယ့်ပုံပါ။
s022	မနက်ဖြန်မတိုင်ခင် အစီရင်ခံစာ တင်ရပါမယ်။
s023	ဌာနမှူးက ခေါ်လို့ သွားလိုက်ဦးမယ်နော်။
s024	အလုပ်ပြီးရင် သွားသောက်ကြမလား။
s025	သုံးနည်း မသိရင် ဘယ်အချိန်မဆို မေးပါနော်။
s026	နောက်လကနေ ပရောဂျက်အသစ် စမယ်လို့ ဆိုပါတယ်။
s027	ခွင့်ယူချင်လို့ပါ၊ ရမလား ခင်ဗျာ။
s028	ဒီရထားက တိုကျိုဘူတာမှာ ရပ်ပါသလား။
s029	နောက်ဘူတာမှာ ရထားပြောင်းစီးပါ။
s030	နောက်ဆုံးရထား မမီချင် မမီနိုင်ပါဘူး။
s031	ဘူတာကို သွားတဲ့လမ်း ပြောပြပေးလို့ရမလား။
s032	လမ်းကျပ်နေလို့ ဘတ်စ်ကားက တော်တော်နဲ့ မလာပါဘူး။
s033	လက်မှတ် ပျောက်သွားပါပြီ။ ဘယ်လိုလုပ်ရမလဲ။
s034	လေဆိပ်ကို သွားမယ်ဆိုရင် လီမိုဇင်းဘတ်စ်ကားက အဆင်ပြေပါတယ်။
s035	စက်ဘီးနဲ့ အလုပ်သွားတဲ့သူတွေ များလာတယ်လို့ ဆိုပါတယ်။
s036	မနေ့ကတည်းက ခေါင်းကိုက်ပြီး အဖျားလည်း ရှိပါတယ်။
s037	ဒီဆေးကို ထမင်းစားပြီးမှ သောက်ပါ။
s038	အားမစိုက်ဘဲ အေးအေးဆေးဆေး နားတာ ကောင်းပါတယ်။
s039	ကြိုတင်ချိန်းဆိုမထားပေမယ့် ပြသလို့ရမလား။
s040	ဆေးလိပ်ဖြတ်တာ ကောင်းတယ်လို့ ဆရာဝန်က ပြောခဲ့ပါတယ်။
s041	နေ့တိုင်း လေ့ကျင့်ခန်းလုပ်အောင် ကြိုးစားနေပါတယ်။
s042	ဒဏ်ရာရရင် ချက်ချင်း အကြောင်းကြားပါ။
s043	ခန်းဂျီး ကျက်ရတာ ပင်ပန်းပေမယ့် စိတ်ဝင်စားစရာကောင်းပါတယ်။
s044	ဆရာပြောတာတွေကို မှတ်စုစာအုပ်ထဲ ရေးထားခဲ့ပါတယ်။
s045	ဂျပန်စကား တော်လာအောင် နေ့တိုင်း လေ့ကျင့်နေပါတယ်။
s046	စာမေးပွဲအောင်ရင် မိသားစုကို အကြောင်းကြားဖို့ စိတ်ကူးထားပါတယ်။
s047	ဒီစကားလုံးရဲ့အဓိပ္ပာယ်ကို အဘိဓာန်နဲ့ ရှာကြည့်ပါ။
s048	အိမ်စာမေ့သွားလို့ ဆရာ့ဆီက အဆူခံခဲ့ရပါတယ်။
s049	နားမလည်တာရှိရင် မေးလို့ရမလား။
s050	နိုင်ငံခြားပညာတော်သင်သွားဖို့အတွက် ပိုက်ဆံစုနေပါတယ်။
