いつもどうやって日本語を勉強していますか。	Biasanya bagaimana cara Anda belajar bahasa Jepang?	အမြဲတမ်း ဂျပန်စာကို ဘယ်လို လေ့လာနေလဲ။
音楽を聴きながら単語を覚えています。	Menghafal kosakata sambil mendengarkan musik.	သီချင်းနားထောင်ရင်း ဝေါဟာရတွေ ကျက်နေပါတယ်။
歩きながらでも勉強できるんですか。	Apakah bisa belajar sambil berjalan?	လမ်းလျှောက်ရင်းလည်း လေ့လာလို့ရတာလား။
はい、スマホで音声を聞きながら通学しています。	Ya, saya berangkat sekolah sambil mendengarkan audio di ponsel.	ဟုတ်ကဲ့၊ ဖုန်းနဲ့ အသံနားထောင်ရင်း ကျောင်းသွားနေပါတယ်။
このカフェはいいですね。よく来るんですか。	Kafe ini bagus, ya. Apakah Anda sering ke sini?	ဒီကဖေးက ကောင်းတယ်နော်။ မကြာခဏ လာလေ့ရှိလား။
はい、静かだし、広いし、いつもここで勉強しています。	Ya, tenang, luas, saya selalu belajar di sini.	ဟုတ်ကဲ့၊ တိတ်ဆိတ်တယ်၊ ကျယ်တယ်၊ အမြဲ ဒီမှာ စာလုပ်နေပါတယ်။
コーヒーもおいしいし、値段も安いし、いいですね。	Kopinya enak, harganya juga murah, bagus, ya.	ကော်ဖီလည်းကောင်းတယ်၊ ဈေးလည်းသက်သာတယ်၊ ကောင်းတယ်နော်။
どうして日本のアニメが好きなんですか。	Kenapa Anda suka anime Jepang?	ဘာကြောင့် ဂျပန်အန်နီမေးကို ကြိုက်တာလဲ။
話もおもしろいし、音楽もすてきですから。	Karena ceritanya menarik dan musiknya juga bagus.	ဇာတ်လမ်းလည်း စိတ်ဝင်စားစရာကောင်းသလို သီချင်းတွေလည်း ကောင်းလို့ပါ။
私も最近見始めました。一緒に見に行きませんか。	Saya juga baru mulai menonton. Mau menonton bersama?	ကျွန်တော်လည်း ဒီတလော စကြည့်နေပါပြီ။ အတူတူ သွားကြည့်ကြမလား။
