ちょっとよろしいですか。夜、音楽の音が大きいんですが……。	Boleh bicara sebentar? Malam hari suara musiknya besar sekali...	ခဏလောက် ရမလား။ ညဘက် သီချင်းသံက ကျယ်လွန်းလို့ပါ...
あ、すみません。気がつきませんでした。	Ah, maaf. Saya tidak sadar.	အာ့၊ တောင်းပန်ပါတယ်။ သတိမထားမိခဲ့ပါဘူး။
夜10時以降は少し小さくしていただけませんか。	Setelah jam 10 malam, bisakah dikecilkan sedikit?	ည ၁၀ နာရီကျော်ရင် နည်းနည်း လျှော့ပေးလို့ရမလား။
わかりました。これからは気をつけます。	Baik. Mulai sekarang saya akan berhati-hati.	ဟုတ်ကဲ့၊ ရပါပြီ။ ဒီကနေ့စပြီး သတိထားပါမယ်။
ありがとうございます。助かります。	Terima kasih. Sangat membantu.	ကျေးဇူးတင်ပါတယ်။ အရမ်းအဆင်ပြေသွားပါပြီ။
ご迷惑をおかけして申し訳ありませんでした。	Mohon maaf sudah membuat Anda terganggu.	အနှောင့်အယှက်ဖြစ်စေခဲ့တဲ့အတွက် တောင်းပန်ပါတယ်။
いいえ、大丈夫です。言わなければよかったかな……。	Tidak apa-apa. Mungkin sebaiknya saya tidak bilang...	ရပါတယ်။ မပြောလိုက်ရင် ကောင်းမလားလို့တောင်...
いいえ！言ってもらってよかったです。知らなかったので。	Tidak! Saya senang Anda memberi tahu. Karena saya tidak tahu.	မဟုတ်ပါဘူး။ ပြောပေးလို့ ကောင်းပါတယ်။ မသိခဲ့လို့ပါ။
これからも何かあれば、遠慮なく言ってください。	Kalau ada apa-apa lagi, jangan sungkan katakan saja.	နောက်လည်း တစ်ခုခုရှိရင် အားမနာဘဲ ပြောပါနော်။
こちらこそ。よろしくお願いします。	Saya juga. Mohon kerja samanya.	ကျွန်တော်ဘက်ကလည်း အတူတူပါပဲ။ ရှေ့ဆက်လည်း ကူညီပေးပါ။
SNSはよく使いますか。	Apakah Anda sering memakai media sosial?	ဆိုရှယ်မီဒီယာ မကြာခဏ သုံးလား။
毎日使っています。写真を投稿するのが好きで。	Setiap hari. Saya suka mengunggah foto.	နေ့တိုင်း သုံးနေပါတယ်။ ဓာတ်ပုံတင်ရတာ ကြိုက်လို့ပါ။
フォロワーはどのくらいいますか。	Berapa banyak pengikut Anda?	Follower ဘယ်လောက် ရှိလဲ။
最近増えてきました。でも、使いすぎてしまうのが問題で……。	Akhir-akhir ini bertambah. Tapi masalahnya saya jadi memakainya berlebihan...	ဒီတလော တိုးလာပါတယ်။ ဒါပေမယ့် သုံးလွန်းမိတာက ပြဿနာပါ...
確かに、スマホを使いすぎると目が疲れますね。	Memang, kalau terlalu banyak main ponsel, mata jadi lelah, ya.	ဟုတ်ပါတယ်၊ ဖုန်းသုံးလွန်းရင် မျက်လုံးညောင်းတယ်နော်။
夜はなるべく見ないようにしているんですが、ついつい見てしまいます。	Malam hari saya berusaha tidak melihatnya, tapi tanpa sadar tetap melihat.	ညဘက် တတ်နိုင်သမျှ မကြည့်အောင် လုပ်နေပေမယ့် အမှတ်မထင် ကြည့်မိနေတာပါပဲ။
使う時間を決めたほうがいいですよ。	Sebaiknya tentukan waktu pemakaiannya.	သုံးမယ့်အချိန် သတ်မှတ်ထားတာ ကောင်းပါတယ်။
そうですね。寝る前に見るのをやめるようにします。	Benar. Saya akan berhenti melihatnya sebelum tidur.	ဟုတ်တယ်နော်။ မအိပ်ခင် ကြည့်တာကို ရပ်အောင် လုပ်ပါမယ်။
睡眠も大事ですからね。	Karena tidur juga penting, ya.	အိပ်စက်တာလည်း အရေးကြီးလို့ပါ။
はい、生活リズムを整えなければなりませんね。	Ya, saya harus mengatur ritme hidup saya.	ဟုတ်ကဲ့၊ နေထိုင်မှုစည်းချက်ကို ပြင်ဆင်ရတော့မယ်နော်။
卒業後はどうするつもりですか。	Setelah lulus, Anda berencana bagaimana?	ကျောင်းပြီးရင် ဘယ်လိုလုပ်ဖို့ စိတ်ကူးထားလဲ။
大学院に進もうかと思っているんですが、まだ悩んでいます。	Saya berpikir untuk lanjut ke pascasarjana, tapi masih bimbang.	ဘွဲ့လွန်တက်မလားလို့ စဉ်းစားနေပေမယ့် ခုထိ ချီတုံချတုံ ဖြစ်နေပါသေးတယ်။
どんなことを研究したいですか。	Anda ingin meneliti tentang apa?	ဘာအကြောင်း သုတေသနလုပ်ချင်လဲ။
環境問題に関係する研究をしたいんです。	Saya ingin penelitian yang berkaitan dengan masalah lingkungan.	ပတ်ဝန်းကျင်ပြဿနာနဲ့ ဆိုင်တဲ့ သုတေသန လုပ်ချင်ပါတယ်။
それは大切なテーマですね。指導教員は決まっていますか。	Tema yang penting, ya. Apakah dosen pembimbing sudah ditentukan?	အရေးကြီးတဲ့ခေါင်းစဉ်ပဲနော်။ လမ်းညွှန်ဆရာ သတ်မှတ်ပြီးပြီလား။
まだです。どの先生に相談したらいいかわからなくて……。	Belum. Saya tidak tahu harus konsultasi ke dosen yang mana...	မသတ်မှတ်ရသေးပါဘူး။ ဘယ်ဆရာနဲ့ တိုင်ပင်ရမလဲ မသိလို့...
まず学科の事務室で聞いてみたらどうですか。	Bagaimana kalau tanya dulu di kantor jurusan?	အရင်ဆုံး ဌာနရုံးခန်းမှာ မေးကြည့်ရင် ဘယ်လိုလဲ။
そうですね。行ってみます。合格できるかどうか不安ですが。	Benar. Saya akan ke sana. Meskipun cemas apakah bisa lulus atau tidak.	ဟုတ်တယ်နော်။ သွားကြည့်ပါမယ်။ အောင်နိုင်မလား မအောင်နိုင်ဘူးလား စိုးရိမ်ပေမယ့်ပေါ့။
一生懸命準備すれば、きっと大丈夫ですよ。	Kalau mempersiapkan dengan sungguh-sungguh, pasti tidak masalah.	ကြိုးကြိုးစားစား ပြင်ဆင်ရင် သေချာပေါက် အဆင်ပြေပါလိမ့်မယ်။
ありがとうございます。あきらめずにがんばります。	Terima kasih. Saya akan berusaha tanpa menyerah.	ကျေးဇူးတင်ပါတယ်။ လက်မလျှော့ဘဲ ကြိုးစားပါမယ်။
今日は何を作りますか。	Hari ini kita membuat apa?	ဒီနေ့ ဘာချက်မလဲ။
天ぷらを作ります。作り方はわかりますか。	Membuat tempura. Apakah Anda tahu cara membuatnya?	တင်ပူရာ ချက်ပါမယ်။ ချက်နည်း သိလား။
少しわかりますが、油の温度が難しそうで……。	Tahu sedikit, tapi suhu minyaknya kelihatan sulit...	နည်းနည်း သိပေမယ့် ဆီအပူချိန်က ခက်မယ့်ပုံရလို့...
説明書の通りにすれば大丈夫ですよ。最初は少し難しいですが。	Kalau mengikuti petunjuk, pasti bisa. Meskipun awalnya agak sulit.	ညွှန်ကြားချက်အတိုင်း လုပ်ရင် ရပါတယ်။ အစပိုင်းတော့ နည်းနည်း ခက်ပါလိမ့်မယ်။
