来週の土曜日、どこかへ行きますか。	Sabtu minggu depan, apakah Anda pergi ke suatu tempat?	နောက်အပတ် စနေနေ့ တစ်နေရာရာ သွားမလား။
雨が降ったら、どこも行かないと思います。	Kalau hujan, saya rasa tidak akan pergi ke mana-mana.	မိုးရွာရင် ဘယ်မှ မသွားဘူးလို့ ထင်ပါတယ်။
晴れたら何をするつもりですか。	Kalau cerah, Anda berencana melakukan apa?	နေသာရင် ဘာလုပ်ဖို့ စိတ်ကူးထားလဲ။
晴れたら、友だちと山に登りに行きます。	Kalau cerah, saya pergi mendaki gunung dengan teman.	နေသာရင် သူငယ်ချင်းနဲ့ တောင်တက်သွားပါမယ်။
いいですね。何時間ぐらいかかりますか。	Bagus, ya. Kira-kira berapa jam?	ကောင်းတယ်နော်။ ဘယ်နှစ်နာရီလောက် ကြာမလဲ။
3時間ぐらいかかると思いますが、疲れても最後まで歩くつもりです。	Saya rasa sekitar 3 jam, tapi meskipun lelah saya akan berjalan sampai akhir.	၃ နာရီလောက် ကြာမယ်ထင်ပေမယ့် ပင်ပန်းရင်တောင် အဆုံးထိ လမ်းလျှောက်ဖို့ စိတ်ကူးထားပါတယ်။
すごいですね。がんばってください。	Hebat. Semangat, ya.	တော်လိုက်တာနော်။ ကြိုးစားပါနော်။
ありがとうございます。天気がよければいいのですが……。	Terima kasih. Semoga saja cuacanya bagus...	ကျေးဇူးတင်ပါတယ်။ ရာသီဥတု ကောင်းရင်တော့ ကောင်းမှာပဲ...
天気予報では晴れるそうですよ。	Menurut ramalan cuaca katanya akan cerah.	မိုးလေဝသခန့်မှန်းချက်အရ နေသာမယ်လို့ ဆိုပါတယ်။
それはよかったです。楽しみにしています。	Syukurlah. Saya menantikannya.	အဲဒါဆို ကောင်းတာပေါ့။ စောင့်မျှော်နေပါတယ်။
来週、日本語の試験があるんですか。	Minggu depan ada ujian bahasa Jepang?	နောက်အပတ် ဂျပန်စာ စာမေးပွဲ ရှိတာလား။
はい、でも勉強しても、なかなか覚えられないんです。	Ya, tapi meskipun belajar, susah sekali mengingatnya.	ဟုတ်ကဲ့၊ ဒါပေမယ့် လေ့လာလည်း မှတ်မိဖို့ ခက်နေပါတယ်။
どんな勉強をしていますか。	Belajar dengan cara bagaimana?	ဘယ်လို လေ့လာနေလဲ။
毎日単語を覚えています。でも、朝になったら忘れてしまいます。	Setiap hari menghafal kosakata. Tapi begitu pagi tiba, saya lupa.	နေ့တိုင်း ဝေါဟာရတွေ ကျက်နေပါတယ်။ ဒါပေမယ့် မနက်ရောက်ရင် မေ့သွားပါတယ်။
声に出して練習したらどうですか。	Bagaimana kalau berlatih dengan bersuara?	အသံထွက်ပြီး လေ့ကျင့်ကြည့်ရင် ဘယ်လိုလဲ။
そうですね。書くだけじゃだめなんですね。	Benar juga. Hanya menulis saja tidak cukup, ya.	ဟုတ်တယ်နော်။ ရေးရုံနဲ့တော့ မရဘူးပေါ့နော်။
試験に合格したら、どうしますか。	Kalau lulus ujian, apa yang akan Anda lakukan?	စာမေးပွဲအောင်ရင် ဘာလုပ်မလဲ။
合格したら、友だちとパーティーをしたいです。	Kalau lulus, saya ingin berpesta dengan teman-teman.	အောင်ရင် သူငယ်ချင်းတွေနဲ့ ပါတီလုပ်ချင်ပါတယ်။
うまくいくといいですね。応援しています。	Semoga berhasil, ya. Saya mendukung Anda.	အဆင်ပြေပါစေနော်။ အားပေးနေပါတယ်။
ありがとうございます。一生懸命やってみます。	Terima kasih. Saya akan berusaha sekuat tenaga.	ကျေးဇူးတင်ပါတယ်။ အစွမ်းကုန် ကြိုးစားကြည့်ပါမယ်။
すみません、さくら大学へ行きたいんですが、どこで降りたらいいですか。	Permisi, saya mau ke Universitas Sakura, sebaiknya turun di mana?	တစ်ဆိတ်လောက်၊ Sakura တက္ကသိုလ်ကို သွားချင်လို့ ဘယ်မှာ ဆင်းရမလဲ။
